,StationCode,SampleDate,IsSafe,AvgResultToThresholdRatio,TargetLatitude,TargetLongitude
0,0,2023-11-02 00:00:00,1,0.019230769230769232,33.6293,-117.96
1,000NONPJ,2023-04-12 00:00:00,0,2.134659090909091,-88.0,-88.0
2,01T_ODD3_EDI,2020-06-02 00:00:00,0,1.9348636363636365,34.132714,-119.160751
3,1000,2023-11-06 00:00:00,1,0.18945431235431234,34.3733,-119.477
4,10000,2023-11-06 00:00:00,1,0.0705967365967366,34.3108,-119.359
5,1100,2023-10-30 00:00:00,1,0.07166340326340326,42.114,-124.45083333333334
6,11000,2023-11-06 00:00:00,1,0.07093006993006994,34.2918,-119.338
7,12N,2023-10-31 00:00:00,1,0.0967948717948718,33.6467,-117.989
8,13000,2023-11-06 00:00:00,1,0.08846340326340325,34.273,-119.305
9,14000,2023-11-06 00:00:00,1,0.08563006993006994,34.2742,-119.297
10,15000,2023-10-30 00:00:00,1,0.1099088578088578,34.2751,-119.296
11,15N,2023-10-31 00:00:00,1,0.10316666666666667,33.6521,-117.998
12,15S,2023-11-02 00:00:00,1,0.019230769230769232,33.6563,-117.924
13,17000,2023-10-30 00:00:00,1,0.10334801864801864,34.2752,-119.293
14,18000,2023-10-30 00:00:00,1,0.0705967365967366,34.2736,-119.289
15,19000,2023-11-06 00:00:00,1,0.07823006993006994,34.272,-119.286
16,191UP01,2020-02-22 00:00:00,0,33.217365967365964,32.82948,-117.24905
17,20000,2023-10-30 00:00:00,1,0.10401468531468533,34.2659,-119.278
18,201LAG005,2021-12-07 00:00:00,0,,38.08460852,-122.8290625
19,201LAG030,2021-12-07 00:00:00,0,,38.06184999,-122.807555555767
20,201LAG050,2021-12-07 00:00:00,0,,38.0418,-122.7897
21,201LAG080,2021-12-07 00:00:00,0,,38.009525,-122.7719889
22,201LAG085_SWAMP,2021-12-07 00:00:00,0,,37.99905,-122.75533
23,201LAG105,2021-12-07 00:00:00,0,,37.99503611,-122.7527889
24,201LAG110,2021-12-07 00:00:00,0,,37.97830556,-122.7356056
25,201LAG122,2021-12-07 00:00:00,0,,38.0648,-122.8052306
26,201LAG130_SWAMP,2021-12-07 00:00:00,0,,38.08064,-122.7845
27,201LAG195,2021-12-07 00:00:00,0,,38.02698056,-122.7364111
28,201LAG230,2023-11-06 00:00:00,1,0.28934731934731933,38.005,-122.70833
29,201LAG243,2021-12-07 00:00:00,0,,38.01098333,-122.7023222
30,201TBF001,2021-12-07 00:00:00,0,,38.096389,-122.851944
31,201TBF002,2021-12-07 00:00:00,0,,38.101667,-122.858611
32,201TBF003,2021-12-07 00:00:00,0,,38.109167,-122.865278
33,201TBF004,2021-12-07 00:00:00,0,,38.109167,-122.839722
34,201TBF005,2021-12-07 00:00:00,0,,38.139722,-122.871389
35,201TMB200,2021-12-07 00:00:00,0,,38.20610556,-122.9369667
36,201TMB400,2021-12-07 00:00:00,0,,38.172725,-122.9062222
37,201TMB600,2021-12-07 00:00:00,0,,38.10695,-122.8531639
38,201WLK011,2021-12-07 00:00:00,1,0.325,38.2325,-122.912778
39,201WLK030_SWAMP,2021-12-07 00:00:00,0,,38.24111,-122.90431
40,201WLK130,2021-11-02 00:00:00,0,2.3,38.206389,-122.769167
41,201WLK163,2021-12-07 00:00:00,0,,38.17472,-122.817
42,201WLK170,2021-11-02 00:00:00,0,4.25,38.16445,-122.81136
43,201WLK185,2021-12-07 00:00:00,0,,38.163561,-122.776253
44,201WTG010,2021-11-02 00:00:00,1,0.325,38.19500556,-122.951375
45,202DER100,2020-06-23 00:00:00,0,10.909090909090908,37.50636,-122.47636
46,202FRE002,2020-06-23 00:00:00,0,2.1893939393939394,37.48042,-122.45095
47,202FRE004,2020-06-23 00:00:00,0,2.4486013986013986,37.48064,-122.45086
48,202FRE020,2021-06-14 00:00:00,0,13.023557692307692,37.4817820154,-122.449724413
49,202FRE049,2021-06-14 00:00:00,0,16.29125874125874,37.4828962551,-122.446602993
50,202FRE050,2020-06-23 00:00:00,0,3.8181818181818183,37.482841,-122.446073
51,202FRE100,2020-06-23 00:00:00,0,5.193181818181818,37.4835941,-122.4433786
52,202FRE140,2021-06-14 00:00:00,0,9.253977272727273,37.4842073545,-122.441711314
53,202FRE500,2020-06-23 00:00:00,1,0.8409090909090909,37.505089,-122.436397
54,202PIL019,2021-06-14 00:00:00,0,15.992351398601398,37.4720418203,-122.444330826
55,202PIL050,2020-06-23 00:00:00,0,1.9659090909090908,37.468447,-122.435062
56,202PIL075,2021-06-14 00:00:00,0,11.747202797202798,37.4657777522,-122.42836833
57,202PIL210,2020-06-23 00:00:00,1,0.5909090909090909,37.47935,-122.40561
58,203RSB520,2021-09-21 00:00:00,1,0.01125,37.8585,-122.4814
59,203RSB540,2021-09-21 00:00:00,1,0.01125,37.8602,-122.4822
60,203RSB560,2021-09-21 00:00:00,1,0.0425,37.8601,-122.4834
61,203RSB580,2021-09-21 00:00:00,1,0.0825,37.8601,-122.4853
62,203RSB600,2021-09-21 00:00:00,1,0.0575,37.8612,-122.4853
63,203RSB620,2021-09-21 00:00:00,1,0.175,37.8622,-122.4888
64,203RSB640,2021-09-21 00:00:00,1,0.0195,37.8636,-122.4882
65,203RSB660,2021-09-21 00:00:00,0,,37.8654,-122.4864
66,203RSB680,2021-09-21 00:00:00,1,0.1225,37.8639,-122.4893
67,203RSB700,2021-09-21 00:00:00,1,0.0575,37.8634,-122.493
68,203RSB740,2021-09-21 00:00:00,1,0.051250000000000004,37.8678,-122.4969
69,203RSB760,2021-09-21 00:00:00,1,0.0675,37.8717,-122.499
70,203RSB780,2021-09-21 00:00:00,1,0.0825,37.8722,-122.501
71,203RSB800,2021-09-21 00:00:00,1,0.175,37.8731,-122.5037
72,203RSB820,2021-09-21 00:00:00,1,0.1575,37.8747,-122.5032
73,203RSB850,2021-09-21 00:00:00,1,0.6,37.8738,-122.505
74,204CHA020,2021-06-29 00:00:00,0,6.156905594405594,37.68202,-122.08079
75,204CVY005,2021-06-29 00:00:00,0,3.645541958041958,37.67846,-122.08011
76,204CVY080,2021-06-29 00:00:00,0,27.334353146853147,37.68269,-122.07931
77,204CVY090,2021-06-29 00:00:00,0,86.01940559440558,37.68732,-122.07329
78,204R02068,2021-06-29 00:00:00,0,4.850961538461538,37.74726,-121.9426
79,204R02692,2021-06-29 00:00:00,0,17.025786713286713,37.74526,-121.91739
80,204SLO030,2021-06-29 00:00:00,0,15.321969696969697,37.679582,-122.079507
81,204WAR150,2020-08-04 00:00:00,0,2.339597902097902,37.66487,-122.04634
82,204WAR200,2020-08-04 00:00:00,1,0.26267482517482516,37.66389,-122.05572
83,204WAR220,2020-08-04 00:00:00,0,1.916083916083916,37.6614,-122.0521
84,204WAR230,2020-08-04 00:00:00,0,1.7821241258741258,37.66256,-122.0484
85,204WAR250,2020-08-04 00:00:00,0,1.2482517482517483,37.65977,-122.04217
86,205LGA400,2021-07-01 00:00:00,0,1.9329982517482518,37.23889,-121.97054
87,205LGA420,2021-07-01 00:00:00,1,0.48671328671328673,37.22024,-121.98303
88,205STE064,2021-07-01 00:00:00,0,4.2153846153846155,37.31735,-122.06182
89,205STE065,2021-07-01 00:00:00,0,1.2483391608391607,37.313212,-122.064115
90,206R02560,2020-08-05 00:00:00,0,6.833479020979022,,
91,207ALH015,2021-06-29 00:00:00,0,97.6402972027972,38.01522,-122.13261
92,207R00700,2021-06-29 00:00:00,0,3.2095716783216783,37.8051,-121.97827
93,207R01163,2020-08-05 00:00:00,0,18.580856643356643,37.88733,-122.05541
94,207R01547,2020-08-05 00:00:00,0,2.3256118881118883,37.98949,-122.06841
95,207R02891,2020-08-05 00:00:00,0,0.8146853146853147,37.88708,-122.09708
96,207R03348,2021-06-29 00:00:00,0,1.7797202797202798,37.79973,-121.97697
97,21000,2023-10-30 00:00:00,1,0.0705967365967366,34.2569,-119.272
98,21N,2023-10-31 00:00:00,1,0.026243589743589747,33.6638,-118.013
99,21S,2023-11-02 00:00:00,1,0.057692307692307696,33.6009,-117.903
100,22000,2023-10-30 00:00:00,1,0.0705967365967366,34.2538,-119.27
101,220UP01,2020-02-10 00:00:00,0,3.546270396270396,32.823943,-117.25029
102,23000,2023-10-30 00:00:00,1,0.21445058275058274,34.2464,-119.268
103,230UP01,2020-02-22 00:00:00,0,18.24009324009324,32.826999,-117.25374
104,2500,2023-10-30 00:00:00,1,0.10847552447552448,34.364201,-119.450103
105,25000,2023-11-06 00:00:00,1,0.07166340326340326,34.2397,-119.267
106,27N,2023-10-31 00:00:00,1,0.026243589743589747,33.6756,-118.029
107,27S,2023-11-02 00:00:00,1,0.019230769230769232,33.5943,-117.882
108,29000,2023-10-31 00:00:00,1,0.07129673659673659,34.1979,-119.249
109,29S,2023-11-02 00:00:00,1,0.038461538461538464,33.5932,-117.876
110,30000,2023-10-31 00:00:00,1,0.0705967365967366,34.1904,-119.245
111,304APT,2020-03-05 00:00:00,1,0.35404545454545455,36.973915261,-121.9027384
112,304BRA,2020-10-07 00:00:00,0,2.4951923076923075,36.980663981,-122.017268
113,304GAZ,2020-03-05 00:00:00,1,0.033638636363636364,37.165754981,-122.359552
114,304LOR,2020-03-05 00:00:00,0,2.059727272727273,36.969739981,-122.022029
115,304SCO,2020-03-05 00:00:00,1,0.19770454545454547,37.040526981,-122.22769
116,304SOK,2020-03-05 00:00:00,1,0.30906818181818185,36.980143421,-121.9562397
117,304WAD,2020-03-05 00:00:00,1,0.11011818181818182,37.096411981,-122.276968
118,305THU,2020-03-05 00:00:00,1,0.3977045454545455,36.879774981,-121.791946
119,307CML,2020-03-04 00:00:00,1,0.07935681818181818,36.536375981,-121.911678
120,308BGC,2020-03-04 00:00:00,1,0.036895454545454544,36.070908981,-121.598071
121,308BSR,2020-03-04 00:00:00,1,0.056345454545454546,36.286592981,-121.843048
122,308LSR,2020-03-04 00:00:00,1,0.03633181818181818,36.332783981,-121.884316
123,308WLO,2020-03-04 00:00:00,1,0.03311363636363636,35.893696981,-121.459666
124,309ALD,2021-09-29 00:00:00,1,0.8625,36.690247981,-121.679516
125,309DAV,2020-03-04 00:00:00,0,9.950545454545455,36.646805981,-121.701385
126,309GAB,2023-04-25 00:00:00,0,1.025,36.692234,-121.62918
127,309NAD,2023-04-25 00:00:00,0,3.05,36.70808,-121.59958
128,309OLD,2020-03-04 00:00:00,1,0.2340681818181818,36.772290981,-121.787855
129,309RTA,2020-07-29 00:00:00,0,1.5291666666666668,36.725403301,-121.6500511
130,309TDW,2020-03-04 00:00:00,1,0.33918181818181814,36.772182981,-121.786597
131,309U19,2023-02-24 00:00:00,0,5.275,36.66053,-121.68369
132,310ADC,2020-03-10 00:00:00,1,0.2942954545454546,35.708341981,-121.303499
133,310ARG,2020-03-10 00:00:00,0,0.6658863636363637,35.09521298,-120.60625
134,310BAY,2020-01-07 00:00:00,0,0.5,35.326784982458,-120.84143598906
